"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000938",163.153267716495,-0.937315918092234,0.266308899569008,-3.51965675803241,0.000432105605344988,0.00791226994823732
"ENSG00000000971",3822.09360726039,-3.03797801194373,0.455061213793413,-6.67597659360813,2.45591167177577e-11,2.18322625325151e-09
"ENSG00000001084",968.56985969234,-0.459883032773446,0.161424064043649,-2.84891249330145,0.00438689445588056,0.0494656454235501
"ENSG00000002726",3798.38623225522,1.02571752384566,0.34983220614604,2.93202714279963,0.00336757313283359,0.0402968217084794
"ENSG00000002746",10.0117554220587,1.24858225028139,0.335802999082373,3.71819862744916,0.000200648480503803,0.00416459036289418
"ENSG00000003137",54.6422983055517,1.89457235388246,0.341868760020485,5.54181187473502,2.99357824025162e-08,1.60500056702051e-06
"ENSG00000003400",650.278150995937,0.820615099201111,0.236640070387057,3.46777744723826,0.000524781704357958,0.00933028013464297
"ENSG00000003436",564.57253097397,-1.56048078208191,0.366187741050364,-4.26142278167439,2.03129540904898e-05,0.000575909865047034
"ENSG00000003989",731.737711937733,-3.43750043650544,0.560111728124927,-6.13716918232203,8.4004910664106e-10,5.86077804577578e-08
"ENSG00000004846",8.36942643371248,2.02683053685139,0.644154100806776,3.1464994701002,0.0016523756092551,0.0229516970966996
"ENSG00000004848",11.4055788812279,2.98007059554467,0.742356552663126,4.01433864206354,5.9612708097563e-05,0.00145252609173531
"ENSG00000004864",766.938224046295,-0.631021480038702,0.215382028169411,-2.92977777859147,0.00339204486131132,0.0405544348321116
"ENSG00000005102",55.4597951002247,2.10496709268169,0.376208099043261,5.5952200338984,2.20342142215998e-08,1.22176836120492e-06
"ENSG00000005249",183.669363500537,1.25781432717003,0.362132093049437,3.47335779212013,0.000513989662074289,0.00916204858178736
"ENSG00000005421",529.103855251497,-7.65736823686427,0.947859572301882,-8.07858934026305,6.55202640814093e-16,9.65565474628597e-14
"ENSG00000005471",247.087425703966,-4.56064942146879,0.529493610829178,-8.61322842843541,7.10313637592728e-18,1.27940021076996e-15
"ENSG00000005893",2268.29965926945,-0.56500145172754,0.162276106195986,-3.4817291650144,0.000498187292649181,0.0089180440509301
"ENSG00000006283",6.61979032980831,2.28430520788089,0.552447538949101,4.13488167985368,3.55137560239469e-05,0.000927666434604671
"ENSG00000006606",6.41326171586678,-1.46752015150684,0.428979504050542,-3.42095633392764,0.000624013504637691,0.010634857242304
"ENSG00000006788",2.21613402764909,3.31607863458851,0.669085950676889,4.95613251366848,7.19101812144712e-07,2.99723828193148e-05
"ENSG00000007171",520.995273269457,2.16203322685747,0.46410921071513,4.65845791667454,3.18586916405546e-06,0.000112993799772253
"ENSG00000007237",540.555541587866,1.06862885243939,0.295095271330155,3.62130117376161,0.000293125035956186,0.00573777012266424
"ENSG00000007306",18685.1796510074,2.59224769128029,0.645342075513268,4.01685832931096,5.89791558993397e-05,0.00144100528773389
"ENSG00000007933",704.624627742106,-6.75150000082082,0.721981244439769,-9.35135095657469,8.65352602264453e-21,2.14841324443277e-18
"ENSG00000008394",1913.43464192504,-0.671334132876737,0.221353066609498,-3.03286574322042,0.00242243347801221,0.0311433276980802
"ENSG00000008513",857.584957546779,-1.35836823803233,0.380601827926321,-3.56900082543822,0.000358345296663496,0.00675463726775145
"ENSG00000009694",24.9971704347166,-1.87348079730677,0.560501440338368,-3.34250844418129,0.000830248291678958,0.0133939926513911
"ENSG00000009724",225.499572986977,-5.73655828972089,0.579202940227656,-9.90422853769722,3.99037742243389e-23,1.27868396520271e-20
"ENSG00000009950",645.402481981211,-1.67229568517165,0.435871241407022,-3.83667360061049,0.000124712047625626,0.00276271270777089
"ENSG00000010319",219.00552417125,1.30888030797301,0.310458167264492,4.21596352096583,2.48713965723087e-05,0.000685405946739684
"ENSG00000010379",13.2343750414372,-5.83216562026362,0.990698460975264,-5.88692306488729,3.93451752065107e-09,2.45310936276249e-07
"ENSG00000010610",847.871619538178,-1.01980247767009,0.239079880815611,-4.26553030807559,1.99427937905745e-05,0.000565997436952268
"ENSG00000011201",92.6523797211378,0.947030296697583,0.309326230410178,3.06159065605845,0.00220164310878659,0.0289746326609077
"ENSG00000011454",1110.97763724771,0.413984619850846,0.143923097119195,2.87642934412389,0.00402202228394834,0.046551402814384
"ENSG00000011600",426.631316462233,-0.79512137444442,0.219735022909454,-3.61854639245227,0.000296262396062181,0.00578625025562124
"ENSG00000012504",156.694622824689,-3.07838896401381,0.657682620718201,-4.68066034746692,2.85952354142499e-06,0.000103010130398157
"ENSG00000013016",187.217677889894,-0.83970135088111,0.244205652883365,-3.43850087402424,0.000584944649390625,0.0101319325253971
"ENSG00000013293",18.0747390544367,2.88336165894341,0.699748741462364,4.12056712373308,3.77940934190968e-05,0.000979373215256809
"ENSG00000013297",51.3883026829232,-1.07636961710189,0.365959524825897,-2.94122585718727,0.00326916072040635,0.0394925746082169
"ENSG00000015520",85.7564359497914,-4.26218388647311,0.623997902235548,-6.83044585759555,8.46511238419156e-12,8.1000544126233e-10
"ENSG00000015592",9.53747309205352,2.64508815087448,0.786242463800808,3.36421431384886,0.000767619100619304,0.0125842041492366
"ENSG00000016490",14536.4890754833,2.46500953531881,0.802228923255675,3.07270090102847,0.00212130989101517,0.0281857227704627
"ENSG00000018280",136.276035777631,-1.13257537699134,0.376847418223121,-3.00539508093637,0.00265236084333519,0.0334525217943392
"ENSG00000018625",117.492865342765,2.56441361003288,0.541011265248059,4.74003736106506,2.13678814619383e-06,7.93606573218457e-05
